"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","FetchSize","WriteSize","TCC_HIT[0]","TCC_MISS[0]","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
76,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,222,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702276.375,1039030.125,1765595,1372204,1616924799012613,1616924799610687,1616924802564447,1616924802645263,2953760
77,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,225,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1701011.0625,1038990.25,1765413,1372375,1616924802668256,1616924803270687,1616924806224446,1616924806303741,2953759
78,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,228,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702490.375,1039017.875,1765727,1372024,1616924806327705,1616924806942926,1616924809884365,1616924809963220,2941439
79,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,231,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699108.125,1039028.9375,1764224,1373519,1616924809982797,1616924810594045,1616924813543164,1616924813625014,2949119
80,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,234,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1696772.25,1039032.5625,1766221,1371613,1616924813644471,1616924814263084,1616924817210603,1616924817290766,2947519
81,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,237,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699006.625,1039025.25,1765009,1372797,1616924817314260,1616924817919683,1616924820858562,1616924820938153,2938879
82,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,240,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699362.25,1039019.25,1765314,1372462,1616924820960665,1616924821561322,1616924824509161,1616924824511463,2947839
83,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,243,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702410.75,1039020.625,1766608,1371182,1616924824800081,1616924825206441,1616924828152841,1616924828155173,2946400
84,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,246,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1698944.375,1039010.5,1766027,1371776,1616924828435475,1616924828850280,1616924831797960,1616924831800135,2947680
85,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,249,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1697455,1039037.4375,1763575,1374178,1616924832094905,1616924832508200,1616924835440519,1616924835517874,2932319
86,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,252,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1703502.9375,1039045.1875,1767578,1370216,1616924835540426,1616924836145079,1616924839099958,1616924839177755,2954879
87,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,255,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1695674.0625,1039004.3125,1763900,1373847,1616924839204635,1616924839809558,1616924842748757,1616924842828488,2939199
88,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,258,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700021.9375,1039032.625,1766494,1371287,1616924842851621,1616924843451317,1616924846399476,1616924846479512,2948159
89,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,261,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700755.25,1039033.96875,1766002,1371759,1616924846499940,1616924847120116,1616924850067475,1616924850147227,2947359
90,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,264,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1698225.375,1039032.625,1766388,1371428,1616924850168207,1616924850797795,1616924853735234,1616924853815704,2937439
91,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,267,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1697684.625,1038998.9375,1765078,1372745,1616924853838286,1616924854431674,1616924857375194,1616924857454475,2943520
92,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,270,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1703999.25,1039041.75,1766843,1370944,1616924857477779,1616924858086734,1616924861045294,1616924861133030,2958560
